,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,Alseid of Life's Bounty,W,1.0,{W},1.0,1.0,,"Lifelink
{1}, Sacrifice Alseid of Life's Bounty: Target creature or enchantment you control gains protection from the color of your choice until end of turn.",uncommon,Lifelink,,"Enchantment, Creature"
1,Archon of Falling Stars,W,6.0,{4}{W}{W},4.0,4.0,,"Flying
When Archon of Falling Stars dies, you may return target enchantment card from your graveyard to the battlefield.",uncommon,Flying,,Creature
2,Archon of Sun's Grace,W,4.0,{2}{W}{W},3.0,4.0,,"Flying, lifelink
Pegasus creatures you control have lifelink.
Constellation — Whenever an enchantment enters the battlefield under your control, create a 2/2 white Pegasus creature token with flying.",rare,"Constellation, Flying, Lifelink",,Creature
3,Banishing Light,W,3.0,{2}{W},,,,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield.",uncommon,,,Enchantment
4,The Birth of Meletis,W,2.0,{1}{W},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
II — Create a 0/4 colorless Wall artifact creature token with defender.
III — You gain 2 life.",uncommon,,,Enchantment
5,Captivating Unicorn,W,5.0,{4}{W},4.0,4.0,,"Constellation — Whenever an enchantment enters the battlefield under your control, tap target creature an opponent controls.",common,Constellation,,Creature
6,Commanding Presence,W,4.0,{3}{W},,,,"Enchant creature
Enchanted creature gets +2/+2 and has first strike and ""Whenever this creature deals combat damage to a player, create a 1/1 white Human Soldier creature token.""",uncommon,Enchant,,Enchantment
7,Dawn Evangel,W,3.0,{2}{W},2.0,3.0,,"Whenever a creature dies, if an Aura you controlled was attached to it, return target creature card with mana value 2 or less from your graveyard to your hand.",uncommon,,,"Enchantment, Creature"
8,"Daxos, Blessed by the Sun",W,2.0,{W}{W},2.0,,,"Daxos's toughness is equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
Whenever another creature you control enters the battlefield or dies, you gain 1 life.",uncommon,,Legendary,"Enchantment, Creature"
9,Daybreak Chimera,W,5.0,{3}{W}{W},3.0,3.0,,"This spell costs {X} less to cast, where X is your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)
Flying",common,Flying,,Creature
