,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
0,"Karn, the Great Creator",C,4.0,{4},,,5.0,"Activated abilities of artifacts your opponents control can't be activated.
[+1]: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value.
[−2]: You may reveal an artifact card you own from outside the game or choose a face-up artifact card you own in exile. Put that card into your hand.",rare,,Legendary,Planeswalker
1,"Ugin, the Ineffable",C,6.0,{6},,,4.0,"Colorless spells you cast cost {2} less to cast.
[+1]: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand.
[−3]: Destroy target permanent that's one or more colors.",rare,,Legendary,Planeswalker
2,Ugin's Conjurant,C,0.0,{X},0.0,0.0,,"Ugin's Conjurant enters the battlefield with X +1/+1 counters on it.
If damage would be dealt to Ugin's Conjurant while it has a +1/+1 counter on it, prevent that damage and remove that many +1/+1 counters from Ugin's Conjurant.",uncommon,,,Creature
3,Ajani's Pridemate,W,2.0,{1}{W},2.0,2.0,,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",uncommon,,,Creature
4,Battlefield Promotion,W,2.0,{1}{W},,,,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.,common,,,Instant
5,Bond of Discipline,W,5.0,{4}{W},,,,Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.,uncommon,,,Sorcery
6,Bulwark Giant,W,6.0,{5}{W},3.0,6.0,,"When Bulwark Giant enters the battlefield, you gain 5 life.",common,,,Creature
7,Charmed Stray,W,1.0,{W},1.0,1.0,,"Lifelink
When Charmed Stray enters the battlefield, put a +1/+1 counter on each other creature you control named Charmed Stray.",common,Lifelink,,Creature
8,Defiant Strike,W,1.0,{W},,,,"Target creature gets +1/+0 until end of turn.
Draw a card.",common,,,Instant
9,Divine Arrow,W,2.0,{1}{W},,,,Divine Arrow deals 4 damage to target attacking or blocking creature.,common,,,Instant
10,Enforcer Griffin,W,5.0,{4}{W},3.0,4.0,,Flying,common,Flying,,Creature
11,Finale of Glory,W,2.0,{X}{W}{W},,,,"Create X 2/2 white Soldier creature tokens with vigilance. If X is 10 or more, also create X 4/4 white Angel creature tokens with flying and vigilance.",mythic,,,Sorcery
12,Gideon Blackblade,W,3.0,{1}{W}{W},,,4.0,"As long as it's your turn, Gideon Blackblade is a 4/4 Human Soldier creature with indestructible that's still a planeswalker.
Prevent all damage that would be dealt to Gideon Blackblade during your turn.
[+1]: Up to one other target creature you control gains your choice of vigilance, lifelink, or indestructible until end of turn.
[−6]: Exile target nonland permanent.",mythic,,Legendary,Planeswalker
13,Gideon's Sacrifice,W,1.0,{W},,,,Choose a creature or planeswalker you control. All damage that would be dealt this turn to you and permanents you control is dealt to the chosen permanent instead (if it's still on the battlefield).,common,,,Instant
14,Gideon's Triumph,W,2.0,{1}{W},,,,"Target opponent sacrifices a creature that attacked or blocked this turn. If you control a Gideon planeswalker, that player sacrifices two of those creatures instead.",uncommon,,,Instant
15,God-Eternal Oketra,W,5.0,{3}{W}{W},3.0,6.0,,"Double strike
Whenever you cast a creature spell, create a 4/4 black Zombie Warrior creature token with vigilance.
When God-Eternal Oketra dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",mythic,Double strike,Legendary,Creature
16,Grateful Apparition,W,2.0,{1}{W},1.0,1.0,,"Flying
Whenever Grateful Apparition deals combat damage to a player or planeswalker, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",uncommon,"Flying, Proliferate",,Creature
17,Ignite the Beacon,W,5.0,{4}{W},,,,"Search your library for up to two planeswalker cards, reveal them, put them into your hand, then shuffle.",rare,,,Instant
18,Ironclad Krovod,W,4.0,{3}{W},2.0,5.0,,,common,,,Creature
19,Law-Rune Enforcer,W,1.0,{W},1.0,2.0,,"{1}, {T}: Tap target creature with mana value 2 or greater.",common,,,Creature
20,Loxodon Sergeant,W,4.0,{3}{W},3.0,3.0,,"Vigilance
When Loxodon Sergeant enters the battlefield, other creatures you control gain vigilance until end of turn.",common,Vigilance,,Creature
21,Makeshift Battalion,W,3.0,{2}{W},3.0,2.0,,"Whenever Makeshift Battalion and at least two other creatures attack, put a +1/+1 counter on Makeshift Battalion.",common,,,Creature
22,Martyr for the Cause,W,2.0,{1}{W},2.0,2.0,,"When Martyr for the Cause dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",common,Proliferate,,Creature
23,Parhelion II,W,8.0,{6}{W}{W},5.0,5.0,,"Flying, first strike, vigilance
Whenever Parhelion II attacks, create two 4/4 white Angel creature tokens with flying and vigilance that are attacking.
Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)",rare,"Crew, First strike, Flying, Vigilance",Legendary,Artifact
24,Pouncing Lynx,W,2.0,{1}{W},2.0,1.0,,"As long as it's your turn, Pouncing Lynx has first strike.",common,,,Creature
25,Prison Realm,W,3.0,{2}{W},,,,"When Prison Realm enters the battlefield, exile target creature or planeswalker an opponent controls until Prison Realm leaves the battlefield.
When Prison Realm enters the battlefield, scry 1.",uncommon,Scry,,Enchantment
26,Rally of Wings,W,2.0,{1}{W},,,,Untap all creatures you control. Creatures you control with flying get +2/+2 until end of turn.,uncommon,,,Instant
27,Ravnica at War,W,4.0,{3}{W},,,,Exile all multicolored permanents.,rare,,,Sorcery
28,Rising Populace,W,3.0,{2}{W},2.0,2.0,,"Whenever another creature or planeswalker you control dies, put a +1/+1 counter on Rising Populace.",common,,,Creature
29,Single Combat,W,5.0,{3}{W}{W},,,,"Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can't cast creature or planeswalker spells until the end of your next turn.",rare,,,Sorcery
30,Sunblade Angel,W,6.0,{5}{W},3.0,3.0,,"Flying, first strike, vigilance, lifelink",uncommon,"First strike, Flying, Lifelink, Vigilance",,Creature
31,"Teyo, the Shieldmage",W,3.0,{2}{W},,,5.0,"You have hexproof. (You can't be the target of spells or abilities your opponents control.)
[−2]: Create a 0/3 white Wall creature token with defender.",uncommon,,Legendary,Planeswalker
32,Teyo's Lightshield,W,3.0,{2}{W},0.0,3.0,,"When Teyo's Lightshield enters the battlefield, put a +1/+1 counter on target creature you control.",common,,,Creature
33,"Tomik, Distinguished Advokist",W,2.0,{W}{W},2.0,3.0,,"Flying
Lands on the battlefield and land cards in graveyards can't be the targets of spells or abilities your opponents control.
Your opponents can't play land cards from graveyards.",rare,Flying,Legendary,Creature
34,Topple the Statue,W,3.0,{2}{W},,,,"Tap target permanent. If it's an artifact, destroy it.
Draw a card.",common,,,Instant
35,Trusted Pegasus,W,3.0,{2}{W},2.0,2.0,,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Trusted Pegasus attacks, target attacking creature without flying gains flying until end of turn.",common,Flying,,Creature
36,The Wanderer,W,4.0,{3}{W},,,5.0,"Prevent all noncombat damage that would be dealt to you and other permanents you control.
[−2]: Exile target creature with power 4 or greater.",uncommon,,Legendary,Planeswalker
37,Wanderer's Strike,W,5.0,{4}{W},,,,"Exile target creature, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",common,Proliferate,,Sorcery
38,War Screecher,W,2.0,{1}{W},1.0,3.0,,"Flying
{5}{W}, {T}: Other creatures you control get +1/+1 until end of turn.",common,Flying,,Creature
39,Ashiok's Skulker,U,5.0,{4}{U},3.0,5.0,,{3}{U}: Ashiok's Skulker can't be blocked this turn.,common,,,Creature
